,Año,Actividad,Capital Federal,Gran Buenos Aires,Resto Bs As,Catamarca,Cordoba,Corrientes,Chaco,Chubut,Entre Rios,Formosa,Jujuy,La Pampa,La Rioja,Mendoza,Misiones,Neuquen,Rio Negro,Salta,San Juan,San Luis,Santa Cruz,Santa Fe,Santiago del Estero,Tierra del Fuego,Tucuman
0,2019-01-01,No identificada,"30,069,924","11,796,965","14,046,162","83,791","6,102,017","159,271","174,776","308,331","128,654","9,600","119,602","107,181","17,276","769,439","115,288","2,385,963","223,116","276,196","220,340","156,459","78,805","1,303,630","118,698","252,768","408,254"
1,2019-01-01,Personas físicas en relación de dependencia laboral,"222,066,393","111,024,612","104,464,212","3,596,091","49,631,625","8,520,360","9,743,733","14,318,083","12,549,253","5,976,194","8,099,063","5,997,674","3,197,867","21,686,074","15,416,962","15,933,633","8,709,404","19,940,227","4,661,007","3,885,331","6,496,933","49,882,060","10,275,290","7,703,433","21,806,137"
2,2019-01-01,Producción primaria,"176,365,002","9,491,460","42,537,520","247,334","33,258,390","2,583,919","2,230,516","2,192,733","6,038,677","145,373","792,622","3,878,346","610,502","6,825,430","914,558","5,164,677","2,417,923","4,435,646","897,651","1,697,969","282,585","28,099,698","507,765","36,468","6,706,569"
3,2019-01-01,"Agricultura, ganadería, caza y silvicultura","81,920,775","8,823,600","40,997,748","228,950","32,588,884","2,538,254","2,217,512","463,541","5,948,175","145,237","576,212","3,822,070","605,371","6,037,213","895,188","285,662","2,296,239","4,357,665","568,802","1,617,634","83,362","27,585,338","479,968","9,215","6,259,603"
4,2019-01-01,Cultivos y servicios agrícolas,"48,521,125","5,017,330","30,189,952","217,921","26,280,829","399,428","1,793,665","291,400","3,794,136","33,470","541,680","2,018,726","602,302","3,742,709","665,481","186,641","2,081,179","3,621,807","465,747","360,915","27,718","22,805,216","435,623","3,955","4,740,486"
5,2019-01-01,Cultivos agrícolas,"25,725,779","2,903,538","18,891,912","186,712","16,611,532","72,783","894,202","209,336","2,279,573","7,446","161,330","751,826","80,814","1,042,201","23,060","137,300","736,947","2,882,262","258,336","241,735","16,765","16,168,880","160,115",77,"3,284,188"
6,2019-01-01,"Cereales, oleaginosas y forrajeras","21,804,494","2,619,930","17,720,315","59,769","16,356,542","38,204","889,629","169,344","2,084,900","6,572","75,132","748,071","65,837","191,721","11,064","16,652","62,235","1,942,307","15,761","237,145","13,101","15,992,441","156,488",60,"742,795"
7,2019-01-01,"Hortalizas, leg., flores y plantas ornam.","2,093,442","244,598","1,108,560","123,143","233,210","20,591","4,383","15,446","23,942",619,"64,419","3,103","5,669","379,216","2,663","3,914","25,836","585,200","192,762","3,905",-,"160,930",602,17,"147,283"
8,2019-01-01,Frutas -exc. vid para vinificar- y nueces,"1,827,842","39,010","63,039","3,800","21,780","13,988",190,"24,546","170,730",255,"21,778",652,"9,309","471,264","9,333","116,734","648,875","354,755","49,811",685,"3,664","15,509","3,025",-,"2,394,111"
9,2019-01-01,Cultivos industriales (9),"13,396,694","133,844","6,387,113","26,681","6,533,244","226,280","528,694","74,023","1,143,277","15,519","357,146","917,829","520,681","2,581,632","447,438","40,269","71,874","571,621","189,118","58,399","5,838","4,302,991","147,762","1,095","856,422"
10,2019-01-01,Plantas para la obtención de fibras,"144,372","10,112","44,387",-,"2,792","1,341","272,786",369,"1,379","1,086",-,-,-,752,24,280,46,348,709,672,75,"12,686","19,764",710,"147,708"
11,2019-01-01,Plantas sacaríferas,"132,784",397,234,14,480,41,31,-,-,-,"14,320",159,9,-,558,-,-,"99,704",501,182,-,"3,301",936,-,"420,931"
12,2019-01-01,Vid para vinificar,"990,998","2,005","1,436","12,767",838,-,-,147,434,-,-,-,"219,577","2,465,670",-,"17,181","20,062","47,942","175,805",661,-,"7,489",120,1,"8,056"
13,2019-01-01,Plantas para preparar bebidas,"41,693",819,"4,423",-,"14,634","5,392",346,-,43,-,-,-,-,-,"303,904",-,3,9,-,-,-,77,-,-,"4,407"
14,2019-01-01,Tabaco,"166,927","49,394","2,604",209,"2,553","3,800",307,-,133,-,"327,098",45,273,211,"6,373",3,2,"118,059",29,-,-,793,7,-,"10,503"
15,2019-01-01,Especias y plantas arom. y medicinales,"5,357",484,476,21,"3,178",49,155,-,426,-,-,-,147,460,"11,559",37,-,760,-,-,-,"2,367",134,-,200
16,2019-01-01,Otros cultivos industriales,"11,914,564","70,632","6,333,555","13,670","6,508,769","215,657","255,068","73,506","1,140,861","14,433","15,727","917,625","300,674","114,539","125,021","22,766","51,761","304,799","12,074","56,884","5,763","4,276,277","126,800",384,"264,618"
17,2019-01-01,Producción de semillas (10),"816,653","1,358,158","1,309,935",209,"103,765",906,"1,814","1,755","3,347",-,225,125,1,"8,267",14,"1,690",307,"4,165","8,867",628,41,"248,764",-,-,"189,019"
18,2019-01-01,Servicios agrícolas,"8,581,999","621,790","3,600,991","4,319","3,032,289","99,459","368,954","6,288","367,940","10,505","22,981","348,945",806,"110,608","194,969","7,383","1,272,051","163,759","9,426","60,155","5,074","2,084,580","127,746","2,782","410,855"
19,2019-01-01,Cría de animales y servicios pecuarios (11),"33,087,588","3,652,847","10,783,189","11,013","6,270,404","2,087,729","366,705","170,774","2,130,029","111,417","32,832","1,801,022","3,068","2,286,374","63,158","96,389","214,426","727,238","102,159","1,255,874","55,047","4,753,247","32,894","3,841","1,515,406"
20,2019-01-01,Cría de ganado (12),"30,711,882","3,543,841","10,053,604","7,540","5,648,971","2,044,890","346,589","163,872","1,162,035","110,620","4,201","1,740,293","2,844","2,195,387","47,495","92,990","204,506","717,480","80,939","1,248,268","53,662","4,468,534","24,793","3,223","1,488,807"
21,2019-01-01,Bovino (13),"19,253,712","2,036,983","7,841,573","4,071","2,205,637","1,654,380","304,655","42,668","815,195","110,543","2,574","1,684,750","2,443","186,484","24,791","67,128","178,303","671,884","30,921","974,722","1,792","2,394,348","18,031","1,300","62,158"
